"Deployment_ID","X","Y"
"NC_Anthropogenic_WCU_20_09",1145325.22905069,1444397.1162377
"NC_Anthropogenic_WCU_20_12",1152489.35495783,1439207.04427846
"NC_Anthropogenic_WCU_20_13",1151409.72081825,1439406.1602536
"NC_Anthropogenic_WCU_20_14",1149167.69125191,1441774.57380425
"NC_Forest_Alligator_River_NWR_20_02",1782220.3659187,1607175.19172077
"NC_Forest_Alligator_River_NWR_20_03",1782982.42724957,1605216.61406422
"NC_Forest_Alligator_River_NWR_20_04",1787062.81174123,1606036.73034793
"NC_Forest_Alligator_River_NWR_20_06",1787532.98818465,1609353.45995459
"NC_Forest_Alligator_River_NWR_20_10",1794472.07864138,1605076.87589528
"NC_Forest_Alligator_River_NWR_20_15",1781661.36088415,1611623.21790272
"NC_Forest_Mt_Glum_20_01",1227893.28234479,1470972.5761418
"NC_Forest_Mt_Glum_20_03",1227995.81515704,1471386.74575578
"NC_Forest_Mt_Glum_20_04",1227703.64212137,1471408.80217911
"NC_Forest_Mt_Glum_20_05",1227849.20944017,1471545.30800243
"NC_Forest_Mt_Glum_20_06",1227372.54823784,1471767.94592038
"NC_Forest_Mt_Glum_20_07",1227163.75045038,1471747.82609558
"NC_Forest_Mt_Glum_20_09",1227200.8350046,1471442.15315632
"NC_Forest_Mt_Glum_20_10",1227423.24152749,1471562.65430269
"NC_Forest_Mt_Glum_20_15",1228039.59627487,1471122.76575926
"NC_Forest_Seven_Devils_20_02",1259120.58685968,1547984.7425854
"NC_Forest_Seven_Devils_20_03",1259007.51707114,1547806.9408545
"NC_Forest_Seven_Devils_20_04",1258900.73151335,1547623.29048462
"NC_Forest_Seven_Devils_20_05",1258697.77225869,1547401.41656388
"NC_Forest_Seven_Devils_20_07",1259358.89641774,1548103.22201443
"NC_Forest_Seven_Devils_20_08",1259387.83223186,1548570.76844692
"NC_Forest_Seven_Devils_20_09",1259541.92527826,1548205.47318661
"NC_Forest_Seven_Devils_20_10",1259315.89462749,1548341.38290877
"NC_Forest_Seven_Devils_20_12",1259657.29536793,1548547.84614841
"NC_Forest_Seven_Devils_20_13",1259804.81610629,1548700.26170585
"NC_Forest_Seven_Devils_20_14",1259916.0412502,1548872.13940955
"NC_Forest_Seven_Devils_20_15",1260167.40554039,1549017.52591321
"NC_Forest_Seven_Devils_20_16",1260345.55480059,1549170.02975109
"NC_Forest_Seven_Devils_20_18",1260671.46546611,1549425.17806013
"NC_Forest_Seven_Devils_20_19",1260790.24942641,1549660.4996967
"NC_Forest_Seven_Devils_20_20",1259211.18837584,1547651.80793449
"NC_Forest_Seven_Devils_20_22",1259541.1962833,1548726.32205069
"NC_Forest_WCU_20_02",1148421.58431518,1439639.52801279
"NC_Forest_WCU_20_03",1135936.37046388,1433410.57773059
"NC_Forest_WCU_20_08",1153359.66318081,1436563.72155977
"NC_Forest_WCU_20_09",1151956.49841441,1434770.6519526
"NC_Forest_WCU_20_11",1149273.3273313,1442075.75347721
"NC_Forest_WCU_20_13",1149423.33193276,1438650.21769599
"NC_Forest_Yarnall_Knob_20_01",1274285.41566377,1555949.22732205
"NC_Forest_Yarnall_Knob_20_02",1274102.04653008,1556034.60927629
"NC_Forest_Yarnall_Knob_20_03",1274237.50603224,1556281.79783643
"NC_Forest_Yarnall_Knob_20_04",1274397.16780227,1556127.10388189
"NC_Forest_Yarnall_Knob_20_06",1273952.30188101,1556171.55827166
"NC_Forest_Yarnall_Knob_20_07",1274460.41849295,1555693.77725597
"NC_Forest_Yarnall_Knob_20_08",1274679.33295468,1555552.63740183
"NC_Forest_Yarnall_Knob_20_10",1274779.43158412,1555777.45853789
"NJ_Forest_Rutgers_20_02",1796172.48626913,2148971.58766666
"NJ_Forest_Rutgers_20_03",1795965.99330764,2148958.40517319
"NJ_Forest_Rutgers_20_04",1795169.39144096,2149787.32997145
"NJ_Forest_Rutgers_20_06",1795592.73277232,2149533.26162959
"NJ_Forest_Rutgers_20_07",1795752.3527647,2149674.71872456
"NY_Forest_Albany_Pine_Bush_20_01",1786489.74645627,2400609.23715934
"NY_Forest_Albany_Pine_Bush_20_02",1786682.50374098,2400502.21574337
"NY_Forest_Albany_Pine_Bush_20_03",1786876.39521038,2400358.71080251
"NY_Forest_Albany_Pine_Bush_20_04",1787101.76732106,2400181.33037102
"NY_Forest_Albany_Pine_Bush_20_06",1786189.97366994,2400476.08245794
"NY_Forest_Albany_Pine_Bush_20_07",1786358.92528689,2400356.51374306
"NY_Forest_Albany_Pine_Bush_20_08",1786511.13637291,2400212.29976691
