"","Deployment_ID","prism_ppt_us_30s_202008","prism_ppt_us_30s_202009","prism_ppt_us_30s_202010","prism_ppt_us_30s_202011","prism_ppt_us_30s_202012","prism_tmean_us_30s_202008","prism_tmean_us_30s_202009","prism_tmean_us_30s_202010","prism_tmean_us_30s_202011","prism_tmean_us_30s_202012","x","y"
"59","CO_GrasslandOak_USAFA_20_17",29.4977855682373,13.0343418121338,7.07296705245972,3.17777967453003,12.0286817550659,21.5152759552002,15.20325756073,8.38490200042725,4.85390424728394,-0.815273642539978,-758289.576291428,1811953.20612964
"60","CO_GrasslandOak_USAFA_20_18",29.4977855682373,13.0343418121338,7.07296705245972,3.17777967453003,12.0286817550659,21.5152759552002,15.20325756073,8.38490200042725,4.85390424728394,-0.815273642539978,-758345.405166135,1811475.49597445
"61","CO_GrasslandOak_USAFA_20_19",29.4948234558105,11.684027671814,6.80445289611816,3.31307077407837,10.9847831726074,21.271520614624,15.0080099105835,8.31878662109375,4.80008554458618,-0.762668967247009,-759866.086987659,1810197.04351968
"62","CO_GrasslandOak_USAFA_20_20",29.3509254455566,14.0601329803467,7.28692579269409,3.47073364257812,12.836576461792,21.6246318817139,15.3027591705322,8.42374229431152,4.89189147949219,-0.781975030899048,-757891.136527567,1813571.89106739
"63","CO_GrasslandOak_USAFA_20_21",28.2843360900879,14.1003103256226,7.15512037277222,3.11535930633545,12.4472332000732,21.5405387878418,15.2036762237549,8.30476760864258,4.85496711730957,-0.837661445140839,-758334.476787751,1813482.72542946
"64","CO_GrasslandOak_USAFA_20_22",26.6242713928223,14.252703666687,7.15951871871948,3.55165123939514,12.0624322891235,21.3147201538086,14.9754095077515,8.14527034759521,4.74336004257202,-0.922175049781799,-759846.998666041,1814137.53087215
"65","CO_GrasslandOak_USAFA_20_23",27.0113372802734,14.6309652328491,7.12507581710815,3.19512677192688,12.244421005249,21.4603042602539,15.099401473999,8.19981575012207,4.79531145095825,-0.925418019294739,-759470.303939947,1813882.75263737
"66","CO_GrasslandOak_USAFA_20_24",28.710786819458,14.5452337265015,7.34257555007935,3.47989082336426,13.0641107559204,21.608793258667,15.2694797515869,8.36473083496094,4.86294078826904,-0.812415897846222,-758059.842318895,1814237.17518115
"67","Days Fork Trail.USA.2020",0.925944209098816,10.7052869796753,17.3258934020996,92.7751159667969,52.0991363525391,19.5342216491699,12.9841890335083,7.34232711791992,0.302062094211578,-4.01503086090088,-1304520.46218136,2068466.41315631
"68","Desolation Wasatch.USA.2020",0,8.60687255859375,15.8524742126465,69.1002502441406,43.1827850341797,20.7236747741699,14.1697645187378,8.37909507751465,1.23002254962921,-3.17185473442078,-1312026.78334484,2071406.63969283
